epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,1.0264,0.6730,0.1992,0.9422,31.9
2,1.000000e-04,0.1894,0.9401,0.1015,0.9662,10.9
3,9.968561e-05,0.1268,0.9579,0.0705,0.9748,11.7
4,9.874640e-05,0.0852,0.9716,0.0627,0.9816,11.0
5,9.719417e-05,0.0634,0.9796,0.0441,0.9861,11.0
6,9.504844e-05,0.0574,0.9812,0.0459,0.9861,11.0
7,9.233621e-05,0.0427,0.9859,0.0510,0.9850,10.9
8,8.909157e-05,0.0401,0.9865,0.0417,0.9869,10.7
9,8.535534e-05,0.0324,0.9887,0.0384,0.9884,10.8
10,8.117449e-05,0.0296,0.9909,0.0369,0.9880,10.7
11,7.660160e-05,0.0258,0.9914,0.0491,0.9842,10.9
12,7.169419e-05,0.0242,0.9923,0.0294,0.9917,10.8
13,6.651395e-05,0.0211,0.9932,0.0512,0.9801,10.8
14,6.112605e-05,0.0179,0.9946,0.0383,0.9906,10.9
15,5.559822e-05,0.0122,0.9964,0.0310,0.9910,10.9
16,5.000000e-05,0.0154,0.9946,0.0329,0.9921,10.8
17,4.440178e-05,0.0117,0.9963,0.0251,0.9936,10.8
18,3.887395e-05,0.0071,0.9981,0.0287,0.9917,11.2
19,3.348605e-05,0.0114,0.9963,0.0312,0.9921,10.9
20,2.830581e-05,0.0049,0.9988,0.0326,0.9917,10.9
21,2.339840e-05,0.0053,0.9984,0.0311,0.9925,10.8
22,1.882551e-05,0.0034,0.9993,0.0229,0.9940,11.0
23,1.464466e-05,0.0026,0.9993,0.0289,0.9932,10.9
24,1.090843e-05,0.0030,0.9993,0.0278,0.9940,10.9
25,7.663790e-06,0.0028,0.9994,0.0319,0.9925,10.8
26,4.951557e-06,0.0022,0.9996,0.0286,0.9940,11.0
27,2.805833e-06,0.0014,0.9999,0.0261,0.9936,10.6
28,1.253604e-06,0.0022,0.9994,0.0267,0.9936,10.7
29,3.143895e-07,0.0014,0.9997,0.0260,0.9932,10.7
30,0.000000e+00,0.0012,0.9999,0.0270,0.9929,10.7
