epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,0.9947,0.6885,0.1706,0.9497,34.1
2,1.000000e-04,0.1698,0.9461,0.0924,0.9681,13.3
3,9.968561e-05,0.1175,0.9610,0.0679,0.9790,13.3
4,9.874640e-05,0.0777,0.9755,0.0641,0.9778,13.6
5,9.719417e-05,0.0590,0.9810,0.0827,0.9718,13.4
6,9.504844e-05,0.0558,0.9824,0.0438,0.9846,13.4
7,9.233621e-05,0.0442,0.9863,0.0507,0.9854,12.2
8,8.909157e-05,0.0357,0.9879,0.0397,0.9887,12.1
9,8.535534e-05,0.0314,0.9905,0.0433,0.9857,12.1
10,8.117449e-05,0.0279,0.9913,0.0331,0.9906,12.0
11,7.660160e-05,0.0208,0.9933,0.0376,0.9887,12.1
12,7.169419e-05,0.0249,0.9918,0.0306,0.9910,12.1
13,6.651395e-05,0.0188,0.9936,0.0429,0.9854,12.0
14,6.112605e-05,0.0174,0.9943,0.0256,0.9921,13.0
15,5.559822e-05,0.0123,0.9967,0.0322,0.9906,12.1
16,5.000000e-05,0.0114,0.9963,0.0228,0.9929,12.2
17,4.440178e-05,0.0103,0.9971,0.0242,0.9921,12.2
18,3.887395e-05,0.0098,0.9971,0.0258,0.9925,13.5
19,3.348605e-05,0.0083,0.9975,0.0302,0.9921,13.4
20,2.830581e-05,0.0052,0.9985,0.0275,0.9929,13.4
21,2.339840e-05,0.0038,0.9991,0.0278,0.9936,13.4
22,1.882551e-05,0.0025,0.9995,0.0236,0.9940,13.4
23,1.464466e-05,0.0021,0.9996,0.0216,0.9947,13.2
24,1.090843e-05,0.0028,0.9991,0.0207,0.9959,13.3
25,7.663790e-06,0.0025,0.9994,0.0183,0.9955,13.3
26,4.951557e-06,0.0021,0.9994,0.0185,0.9962,13.4
27,2.805833e-06,0.0015,0.9997,0.0184,0.9970,13.3
28,1.253604e-06,0.0020,0.9995,0.0200,0.9966,13.2
29,3.143895e-07,0.0013,0.9996,0.0197,0.9962,13.4
30,0.000000e+00,0.0017,0.9997,0.0188,0.9962,13.6
