epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,0.9700,0.6962,0.1756,0.9516,36.3
2,1.000000e-04,0.1633,0.9494,0.0813,0.9748,14.8
3,9.968561e-05,0.1093,0.9640,0.0721,0.9752,14.7
4,9.874640e-05,0.0726,0.9761,0.0618,0.9801,14.9
5,9.719417e-05,0.0592,0.9812,0.0607,0.9805,14.6
6,9.504844e-05,0.0482,0.9848,0.0448,0.9869,14.6
7,9.233621e-05,0.0386,0.9880,0.0509,0.9857,14.6
8,8.909157e-05,0.0296,0.9905,0.0467,0.9857,14.3
9,8.535534e-05,0.0292,0.9903,0.0404,0.9887,15.0
10,8.117449e-05,0.0242,0.9926,0.0450,0.9880,16.0
11,7.660160e-05,0.0210,0.9939,0.0336,0.9891,15.1
12,7.169419e-05,0.0220,0.9933,0.0437,0.9872,14.8
13,6.651395e-05,0.0169,0.9949,0.0471,0.9872,15.8
14,6.112605e-05,0.0149,0.9956,0.0313,0.9906,15.8
15,5.559822e-05,0.0099,0.9973,0.0234,0.9932,15.7
16,5.000000e-05,0.0106,0.9975,0.0310,0.9917,15.2
17,4.440178e-05,0.0098,0.9973,0.0249,0.9932,15.1
18,3.887395e-05,0.0084,0.9976,0.0266,0.9944,14.7
19,3.348605e-05,0.0069,0.9979,0.0208,0.9936,14.8
20,2.830581e-05,0.0064,0.9980,0.0237,0.9932,14.9
21,2.339840e-05,0.0037,0.9990,0.0214,0.9944,16.0
22,1.882551e-05,0.0024,0.9996,0.0218,0.9951,15.3
23,1.464466e-05,0.0026,0.9994,0.0206,0.9955,15.0
24,1.090843e-05,0.0021,0.9995,0.0207,0.9951,15.1
25,7.663790e-06,0.0014,0.9997,0.0196,0.9955,15.2
26,4.951557e-06,0.0015,0.9997,0.0190,0.9959,15.0
27,2.805833e-06,0.0011,0.9999,0.0192,0.9959,15.2
28,1.253604e-06,0.0015,0.9997,0.0188,0.9955,15.0
29,3.143895e-07,0.0013,0.9998,0.0189,0.9959,15.0
30,0.000000e+00,0.0010,0.9999,0.0185,0.9959,15.1
