epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,1.8968,0.3337,1.5694,0.4735,41.4
2,1.000000e-04,1.1186,0.6005,0.8502,0.7033,20.7
3,9.968561e-05,0.8522,0.6911,0.6649,0.7488,20.7
4,9.874640e-05,0.6729,0.7563,0.5037,0.8167,20.7
5,9.719417e-05,0.5903,0.7831,0.5063,0.8092,20.7
6,9.504844e-05,0.5237,0.8088,0.5197,0.8029,20.7
7,9.233621e-05,0.4693,0.8292,0.4036,0.8517,20.8
8,8.909157e-05,0.4403,0.8389,0.3712,0.8558,20.8
9,8.535534e-05,0.4030,0.8529,0.3550,0.8648,20.7
10,8.117449e-05,0.3656,0.8654,0.3254,0.8780,20.8
11,7.660160e-05,0.3299,0.8771,0.4008,0.8528,20.8
12,7.169419e-05,0.3028,0.8881,0.2142,0.9223,20.7
13,6.651395e-05,0.2749,0.8978,0.2991,0.8851,20.7
14,6.112605e-05,0.2499,0.9101,0.2820,0.8911,20.6
15,5.559822e-05,0.2295,0.9166,0.2726,0.9072,20.6
16,5.000000e-05,0.2012,0.9260,0.1872,0.9298,20.7
17,4.440178e-05,0.1874,0.9323,0.1723,0.9410,20.7
18,3.887395e-05,0.1586,0.9432,0.1618,0.9474,20.6
19,3.348605e-05,0.1447,0.9484,0.1484,0.9474,20.7
20,2.830581e-05,0.1279,0.9540,0.1236,0.9606,20.6
21,2.339840e-05,0.1187,0.9571,0.1098,0.9640,20.6
22,1.882551e-05,0.0957,0.9663,0.1070,0.9662,20.6
23,1.464466e-05,0.0896,0.9681,0.1033,0.9677,20.6
24,1.090843e-05,0.0817,0.9721,0.1026,0.9696,20.6
25,7.663790e-06,0.0748,0.9748,0.0960,0.9688,20.6
26,4.951557e-06,0.0705,0.9758,0.0887,0.9707,20.6
27,2.805833e-06,0.0626,0.9793,0.0919,0.9703,20.6
28,1.253604e-06,0.0608,0.9796,0.0870,0.9718,20.6
29,3.143895e-07,0.0602,0.9800,0.0876,0.9707,20.6
30,0.000000e+00,0.0574,0.9816,0.0871,0.9703,20.6
