epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,5.010593e-05,1.1657,0.6147,0.3156,0.9024,27.6
2,1.000000e-04,0.2617,0.9127,0.1721,0.9380,7.1
3,9.968561e-05,0.1656,0.9443,0.1160,0.9576,7.1
4,9.874640e-05,0.1196,0.9604,0.0818,0.9752,7.0
5,9.719417e-05,0.0908,0.9689,0.1039,0.9647,7.1
6,9.504844e-05,0.0806,0.9728,0.0573,0.9786,7.1
7,9.233621e-05,0.0646,0.9767,0.0691,0.9760,7.2
8,8.909157e-05,0.0590,0.9801,0.0610,0.9812,7.2
9,8.535534e-05,0.0518,0.9823,0.0522,0.9839,7.1
10,8.117449e-05,0.0417,0.9856,0.0537,0.9827,7.2
11,7.660160e-05,0.0367,0.9885,0.0550,0.9842,7.5
12,7.169419e-05,0.0322,0.9895,0.0446,0.9865,7.3
13,6.651395e-05,0.0292,0.9909,0.0456,0.9854,7.2
14,6.112605e-05,0.0264,0.9913,0.0628,0.9805,7.1
15,5.559822e-05,0.0224,0.9923,0.0445,0.9869,7.2
16,5.000000e-05,0.0184,0.9942,0.0349,0.9872,7.0
17,4.440178e-05,0.0165,0.9940,0.0367,0.9887,7.1
18,3.887395e-05,0.0106,0.9966,0.0480,0.9865,7.2
19,3.348605e-05,0.0105,0.9972,0.0306,0.9895,7.1
20,2.830581e-05,0.0101,0.9968,0.0312,0.9910,7.2
21,2.339840e-05,0.0084,0.9973,0.0294,0.9929,7.4
22,1.882551e-05,0.0056,0.9983,0.0247,0.9936,7.1
23,1.464466e-05,0.0070,0.9983,0.0250,0.9944,7.0
24,1.090843e-05,0.0039,0.9989,0.0267,0.9936,7.0
25,7.663790e-06,0.0051,0.9984,0.0254,0.9936,7.2
26,4.951557e-06,0.0032,0.9991,0.0252,0.9936,7.0
27,2.805833e-06,0.0034,0.9989,0.0253,0.9932,7.2
28,1.253604e-06,0.0031,0.9991,0.0256,0.9929,7.1
29,3.143895e-07,0.0029,0.9995,0.0245,0.9936,7.1
30,0.000000e+00,0.0032,0.9991,0.0262,0.9936,7.0
